DB,Site,Name,Lat,Long,Elevation ,Type,Shoreline_Elevation_Type,Interp,Preferred,Continuous_Discontinuous,Locations_cores,Citation
184,181,Keystone Iron Bog,38.87,-107.04,3045,3,Rel,1,Y,C,,Fall (1998)
185,182,Kirchner Marsh,44.5,-92.46,280,3,Rel,1,Y,C,,Watts & Winter 1966; Harrison 1989
186,183,Lac Hertel,45.55,-73.15,170,3,Rel,1,Y,C,, Muller et al (2003)
187,184,Lake West Okoboji,46.3,-95.2,430,3,Rel,1,Y,C,,Van Zant 1979
188,185,Montezuma's Well,34,-112,1130,3,Rel,1,Y,C,,Davis &Shafer (1992)
189,186,Phair Lake,50.61,-121.88,705,3,Rel,1,Y,C,,Mathewes and King (1989)
190,187,Pickerel Lake,45.5,-97.33,560,3,Rel,1,Y,C,,Watts & Bright (1968); Haworth (1972)
191,188,"Ryder Pond (Cape Cod, Massachusetts)",41.967,-70.031,0,3,Rel,1,Y,C,,Winkler and Sanford (1995)
192,189,"Swan Lake - West (Garden Co., Nebraska)",41.71666667,-102.5,1160,3,Rel,1,Y,C,,Wright et al. (1985)
193,190,Waldsea,52.27,-105.21,530,3,Rel,1,Y,C,,Last and Schweyen (1985)
